2019-12-23 18:20:20:568,0.9093466,0.8386699,2.406783,0.898443,1.180356,2.449096,0.8831252,1.511688,2.47587,0.8611599,1.659425,2.490175,0.7052337,1.390985,2.499572,0.6419953,1.181008,2.395406,0.6652673,1.026375,2.198869,0.6891015,0.9806888,2.115721,1.057353,1.381058,2.400434,1.149203,1.122952,2.387829,1.169042,0.9010004,2.28253,1.163112,0.8304607,2.256066,0.813409,0.8424234,2.389027,0.8427097,0.4475193,2.395771,0.8900383,0.05732262,2.345852,0.8797992,0.04821157,2.254747,0.9756303,0.8444144,2.347693,1.022078,0.48158,2.199415,1.048708,0.1168766,2.052261,1.004937,0.1579801,1.963809,0.8877183,1.430226,2.471761,0.7059739,0.9374969,2.078065,0.7626905,0.9482731,2.191,1.15693,0.7599407,2.244873,1.126066,0.9977469,2.2656
2019-12-23 18:20:20:617,0.9030498,0.8401172,2.400618,0.8953846,1.181089,2.440581,0.8832881,1.511567,2.464545,0.8587847,1.659909,2.48043,0.7045516,1.391415,2.496187,0.6409186,1.179833,2.394883,0.6681862,1.026744,2.197415,0.699142,0.9796305,2.117718,1.054132,1.382944,2.386535,1.145631,1.122563,2.369733,1.162814,0.8971695,2.266757,1.155426,0.8296366,2.242792,0.8083248,0.8415265,2.384642,0.84209,0.4468051,2.394417,0.8915199,0.04983139,2.344528,0.8775887,0.04795706,2.251894,0.9686761,0.8481764,2.339937,1.013892,0.4852856,2.183893,1.031365,0.1144764,2.007006,0.98682,0.156772,1.924645,0.8870461,1.430356,2.461187,0.7214187,0.9412434,2.077696,0.7655209,0.9526769,2.1788,1.150506,0.7554916,2.23831,1.116696,0.9950376,2.2492
2019-12-23 18:20:20:664,0.897466,0.8413396,2.392199,0.8920004,1.182272,2.429107,0.8823895,1.512577,2.450791,0.8562875,1.661232,2.46694,0.7048322,1.391401,2.4872,0.6407117,1.177742,2.395139,0.6715615,1.026881,2.200191,0.7072918,0.9716856,2.128406,1.050116,1.38381,2.368549,1.141719,1.121871,2.349825,1.154718,0.8931548,2.246386,1.14626,0.8279321,2.226658,0.8034274,0.8411841,2.378352,0.8416916,0.4472038,2.393008,0.8919883,0.04695702,2.34426,0.8737195,0.04858375,2.25191,0.9628464,0.8506486,2.329605,1.003863,0.4912339,2.167388,1.022105,0.1268708,1.989514,0.9755859,0.1517578,1.915039,0.8855464,1.431424,2.447907,0.7300012,0.9322453,2.088382,0.7706846,0.9452316,2.186223,1.137394,0.7530157,2.219791,1.09573,1.03294,2.208571
2019-12-23 18:20:20:738,0.8885018,0.8420284,2.367406,0.8883956,1.183484,2.396787,0.8838344,1.514219,2.411653,0.857034,1.662858,2.426878,0.7080866,1.38938,2.470809,0.6668215,1.153202,2.400048,0.6770303,0.9730069,2.235809,0.7154839,0.9086564,2.206309,1.045029,1.385991,2.313773,1.126013,1.122684,2.288032,1.120273,0.893638,2.180984,1.112135,0.8264251,2.163988,0.7975128,0.8392018,2.363096,0.8413432,0.4459761,2.382978,0.8926065,0.04625404,2.342384,0.8735369,0.04901278,2.260273,0.9505938,0.8541114,2.294348,0.9679981,0.4938828,2.120047,0.9882722,0.1273754,1.956211,0.939518,0.1468154,1.897841,0.8858074,1.432974,2.410416,0.7165883,0.8463676,2.161755,0.666999,0.8749123,2.29,1.100768,0.7499424,2.15595,1.044142,1.031355,2.176333
2019-12-23 18:20:20:786,0.8832766,0.8436877,2.349151,0.8862264,1.184026,2.378552,0.8842583,1.513608,2.393522,0.8595667,1.661749,2.410779,0.7110448,1.390641,2.46414,0.6688294,1.146887,2.399183,0.6681216,0.9462848,2.259479,0.7059783,0.8895631,2.230606,1.043253,1.38556,2.294111,1.122046,1.125451,2.264914,1.111646,0.8953032,2.162679,1.100884,0.8247633,2.139185,0.7931054,0.839146,2.348405,0.8434833,0.4441949,2.378234,0.8971016,0.0459348,2.346477,0.8719586,0.04869902,2.260182,0.9449161,0.8570755,2.273859,0.9597191,0.4909167,2.10914,0.9783847,0.1219036,1.955745,0.9276888,0.1347667,1.904685,0.8856196,1.432657,2.392259,0.7003372,0.8118448,2.198531,0.7684655,0.8431343,2.244364,1.08656,0.746973,2.131853,1.0316,1.057645,2.152333
2019-12-23 18:20:20:836,0.8784807,0.844409,2.336524,0.8848642,1.184418,2.363695,0.8865931,1.513552,2.375824,0.8614573,1.662145,2.390479,0.7146356,1.390865,2.456547,0.6752459,1.124884,2.395495,0.656597,0.9077134,2.27591,0.6673719,0.8473386,2.253717,1.040546,1.385422,2.269259,1.117935,1.128903,2.238513,1.095737,0.8945699,2.124951,1.08594,0.8278491,2.110308,0.7897352,0.839502,2.339355,0.8446048,0.4424928,2.373085,0.896247,0.04561889,2.345764,0.8689744,0.04882729,2.259597,0.9384412,0.8579497,2.257078,0.9461631,0.4781121,2.094396,0.9615331,0.1178821,1.955529,0.8994901,0.160256,1.871238,0.8869898,1.43273,2.375321,0.6578719,0.766935,2.234286,0.7143355,0.8680243,2.243154,1.072568,0.7478442,2.105768,1.024031,1.062739,2.127333
2019-12-23 18:20:20:889,0.8669316,0.8455619,2.314335,0.8824024,1.18559,2.33395,0.8939237,1.514731,2.337925,0.8697318,1.666147,2.351873,0.7277127,1.391286,2.425194,0.6785491,1.101695,2.403356,0.6422048,0.8573644,2.340608,0.6349021,0.8118016,2.336479,1.038275,1.381156,2.224257,1.111604,1.14071,2.177824,1.078111,0.899201,2.067246,1.06173,0.8294511,2.050694,0.780185,0.8428357,2.321437,0.8446944,0.4405622,2.356689,0.8959861,0.04434955,2.341,0.8612685,0.04735172,2.268763,0.9251742,0.8564132,2.230966,0.9347359,0.472524,2.083666,0.946205,0.1038767,1.960783,0.9040458,0.1121168,1.900225,0.8918307,1.433916,2.339436,0.6269439,0.7262491,2.321912,0.696839,0.8468696,2.301,1.043835,0.750891,2.047028,1.005687,1.042919,2.049333
2019-12-23 18:20:20:950,0.8640167,0.8507496,2.277972,0.8851257,1.191112,2.295102,0.9007933,1.520272,2.298505,0.8802519,1.671166,2.310907,0.7365152,1.393566,2.400584,0.6824397,1.099748,2.411525,0.6171508,0.8824544,2.414754,0.5977122,0.8224548,2.429373,1.036796,1.381274,2.17465,1.10454,1.148049,2.124254,1.055925,0.9078173,2.008489,1.029006,0.8345447,2.004746,0.77952,0.8501725,2.286167,0.8414589,0.4499819,2.31697,0.8949741,0.05386889,2.343024,0.8603975,0.05288982,2.265496,0.9197729,0.8596002,2.193772,0.9357331,0.4759317,2.069713,0.945385,0.099949,1.961207,0.9024184,0.1122803,1.901827,0.8978339,1.439483,2.300047,0.5849962,0.7408092,2.432173,0.6155815,0.8174629,2.379154,1.015382,0.7604049,1.976701,1.022121,1.030719,2.0885
2019-12-23 18:20:20:993,0.8653659,0.8549199,2.262513,0.8886318,1.195422,2.27392,0.9066375,1.52454,2.270557,0.8880219,1.676342,2.286429,0.7442096,1.402999,2.380243,0.6855361,1.110214,2.418278,0.6145604,0.9006573,2.451169,0.5911167,0.8330289,2.469641,1.037198,1.383727,2.157074,1.101615,1.156726,2.099121,1.046161,0.9128419,1.984356,1.018369,0.837746,1.975972,0.7817885,0.8549652,2.270474,0.8388171,0.4486562,2.306192,0.8931082,0.05977666,2.342169,0.8600584,0.05317771,2.261592,0.9200374,0.8630944,2.178689,0.9375262,0.4795102,2.057374,0.9444344,0.1031698,1.96282,0.8748247,0.1475892,1.874545,0.9030898,1.44379,2.273875,0.5767372,0.7568913,2.48368,0.608238,0.8246509,2.415,1.003229,0.7715762,1.941571,1.009787,1.012985,2.050579
2019-12-23 18:20:21:028,0.8675691,0.8620349,2.226115,0.8926278,1.201345,2.237046,0.9116396,1.529223,2.23422,0.9041887,1.680441,2.243299,0.7508241,1.415843,2.344693,0.6929094,1.130604,2.429352,0.6206869,0.9298987,2.490554,0.6099091,0.8829623,2.518488,1.04424,1.384041,2.119951,1.095451,1.161415,2.056004,1.023156,0.9241383,1.922203,0.9941995,0.8487481,1.909163,0.7840903,0.8638659,2.231647,0.8233126,0.4523986,2.253353,0.8922879,0.06908047,2.335431,0.854804,0.04718065,2.252027,0.9216434,0.8683801,2.144854,0.9411414,0.4886345,2.039789,0.9449916,0.1026413,1.963269,0.9054637,0.1109766,1.906872,0.9079136,1.448792,2.237302,0.6104732,0.8021982,2.546259,0.6265392,0.8688004,2.502833,0.963555,0.7864315,1.866954,0.9741648,1.04053,1.991597
